68847|163|180
32204|449|441
75751|111|69
77090|311|310
43615|196|244
79415|115|107
85007|43|76
63366|89|247
32308|923|1195
45701|251|483
38555|163|172
55431|160|191
30060|700|713
77054|494|646
11021|663|725
27886|61|91
36303|151|168
10901|265|592
08051|20|17
06105|543|892
55455|991|1061
10965|61|168
22302|77|87
54729|128|217
87505|685|1111
28374|330|364
18951|121|191
34110|159|201
45005|113|219
49546|607|730
27834|1196|1378
84117|173|155
89141|34|50
85395|158|193
40291|76|101
08094|54|73
32082|107|196
22601|499|616
39402|325|307
77082|141|207
46580|131|193
37203|1160|1569
04011|249|426
63301|193|246
61614|411|514
37664|84|143
46804|465|498
93105|509|383
28105|244|363
89074|257|266
39232|296|338
37055|147|247
02131|101|406
38120|474|402
84790|504|220
33401|333|455
27203|193|258
38134|231|436
44236|118|165
52101|81|106
32209|573|665
60523|253|353
03801|369|718
33021|738|781
37421|428|714
42122|6|20
59801|244|441
92117|182|230
07110|169|138
30309|732|836
13031|93|128
33024|317|465
13210|1272|1486
70808|766|818
76201|191|336
63128|447|459
40422|175|215
07055|135|202
55021|101|150
25302|90|157
65109|252|340
44070|88|141
45373|181|316
30106|310|342
75701|718|425
07090|235|334
01915|402|1016
85202|313|340
37663|41|37
37660|582|591
79705|81|77
43449|19|24
27103|1076|1252
20186|137|202
32548|82|209
02115|2885|3942
49009|165|339
77504|199|194
85338|150|182
45885|48|64
60452|84|139
28659|137|165
98684|212|449
22560|46|32
89117|496|615
37067|309|551
40205|212|387
28704|73|144
71201|450|783
85224|551|708
13601|314|652
92604|243|280
71303|169|270
62864|177|249
77034|60|59
30012|123|171
35603|95|126
77089|147|139
28712|122|154
97062|231|314
79601|300|239
32940|265|402
36606|115|113
49085|335|279
92705|530|869
20010|1184|2141
28207|748|704
40207|743|901
44060|271|498
12204|69|80
16127|72|67
70115|398|592
27410|181|294
22030|302|726
27265|121|204
34684|229|247
28092|114|129
53098|54|100
20770|295|426
63110|2570|2648
30120|207|246
79930|109|117
70121|774|821
75038|138|173
46725|40|51
64118|141|130
85331|60|78
89103|184|224
90712|133|126
80903|215|440
28734|104|134
66212|148|256
64055|210|191
19341|215|399
28001|134|227
23072|26|29
68114|529|739
37075|266|336
10034|154|286
89109|311|291
11377|186|444
46163|8|23
43023|41|66
85006|750|772
02914|210|227
31539|27|24
33180|487|460
33606|835|974
96734|286|405
40216|136|184
17602|352|477
60606|75|189
29303|569|636
08003|447|1120
95821|292|426
98686|215|343
87110|477|1031
78404|272|247
21742|265|425
96793|318|415
28607|240|363
43210|1343|1445
43130|322|458
33901|415|488
00717|299|261
21093|471|660
37379|26|41
35611|99|141
18015|496|513
29405|137|327
18104|499|580
21014|319|444
43138|49|108
46321|429|427
97225|668|910
78749|87|193
49601|159|193
21740|270|372
43701|361|545
44811|48|59
42141|143|204
90505|760|848
22046|185|337
53177|10|19
29657|12|17
33173|413|589
37604|728|849
27710|1018|1232
50010|258|298
57706|25|31
32073|411|485
63136|210|243
60603|87|144
19713|502|677
03833|206|299
77076|78|67
43078|53|135
32771|177|313
23517|50|97
65536|88|125
77338|171|272
12401|390|767
38105|149|316
73104|1184|1289
40403|64|110
44124|464|656
24073|143|210
78229|2756|2671
37920|622|527
44109|829|1127
75771|25|38
15025|115|129
28311|49|119
42103|150|274
07033|28|21
28304|615|807
29732|373|533
29169|383|480
40202|1638|1812
30606|574|583
78745|260|454
37076|207|260
29115|79|149
36532|185|236
32504|482|497
56031|89|74
44131|143|302
10532|199|388
19141|652|763
30501|634|665
43606|421|653
75801|106|73
21157|295|431
21044|339|591
34210|77|106
07652|358|514
00969|219|309
92595|94|63
00603|180|194
45069|259|621
43357|16|24
42104|175|257
17033|1311|1372
92704|239|331
45840|293|453
48140|3|7
33026|189|301
46526|141|182
37620|349|347
79106|750|794
33907|407|452
22306|152|243
97227|432|641
64068|189|240
92262|498|383
63141|1088|1450
80524|421|638
93436|183|288
73703|116|141
73701|202|299
96067|85|84
91910|328|425
20854|184|303
60565|50|125
46544|70|122
94564|99|121
14067|6|12
29526|245|493
12866|341|565
97213|488|723
01904|78|109
77030|5489|6813
94118|493|828
55807|48|67
37887|18|28
53222|205|326
92627|190|255
75229|67|48
95404|371|707
11692|38|143
24501|394|439
15238|163|226
30601|81|223
50219|96|102
33331|310|400
03101|164|388
33486|297|231
17110|177|312
12534|119|208
43260|2|1
93463|54|53
81413|12|12
54904|202|300
78130|294|365
21620|63|105
30458|182|223
53132|132|219
21239|174|212
47882|23|24
32720|167|225
21702|361|538
36608|499|365
18901|361|487
14305|29|56
48187|203|377
22205|226|317
76712|339|256
38139|19|38
19118|120|223
11794|808|846
79424|206|226
76528|40|33
17356|31|29
90301|276|401
74137|130|144
75028|166|269
99669|139|268
21287|2052|2236
11530|504|812
33990|166|169
27959|46|61
07601|702|828
17403|746|753
75062|156|153
64772|75|100
52732|146|236
22901|189|266
71301|432|426
13413|289|383
19422|129|154
64012|61|93
19053|107|164
88310|208|357
41017|559|584
80525|453|702
16508|170|236
61103|194|215
93103|104|101
45248|88|134
71360|185|382
01069|74|98
76048|94|89
81101|163|332
11576|263|328
54956|250|386
60123|344|565
38138|563|622
85712|739|805
32159|207|175
33431|328|339
29455|39|57
45242|549|704
38358|38|37
45601|490|702
46202|2479|2869
12553|118|259
17837|207|401
87109|631|980
23502|341|463
30274|159|161
44094|230|403
89015|152|146
64157|21|42
60089|210|322
85209|164|169
88011|424|399
17331|213|263
94109|486|651
59102|325|411
64804|584|634
44321|33|57
10007|109|285
82501|95|140
98801|567|673
08069|14|22
33626|177|297
28655|292|383
44484|241|273
44708|214|298
13613|1|5
48109|2398|2728
44601|137|252
43623|374|385
27263|44|47
30043|116|221
33881|178|193
33916|60|84
32901|601|738
20889|1164|875
08648|256|306
19107|2006|2252
21801|314|432
77070|267|354
21401|619|997
36726|4|7
44147|48|100
33609|262|445
44824|3|8
42303|347|395
73109|244|318
13357|19|50
02038|70|178
43229|155|348
29631|71|93
33912|224|304
17702|15|19
33328|299|683
44903|168|342
49048|253|256
17201|416|523
43302|261|396
33904|101|112
66502|287|437
34761|190|246
78006|130|182
32127|121|124
47304|279|456
67206|297|354
33160|133|211
50022|58|79
52501|133|145
02747|243|410
15714|12|16
27536|125|177
32563|40|93
32920|13|11
06360|285|569
32819|330|498
18034|26|51
48197|665|932
60613|222|469
11710|200|458
20708|110|291
93454|386|420
99203|89|149
05452|66|111
83713|137|151
60659|161|214
29301|128|199
04090|22|34
75227|57|57
94022|100|179
45750|255|339
19047|412|676
95765|97|116
92014|119|132
60468|8|11
63122|350|477
77079|188|248
89146|547|1076
10801|351|734
89128|760|873
85306|308|494
92024|498|668
16417|28|22
90623|92|90
19050|51|98
95350|589|965
60068|664|846
20815|367|395
98012|137|330
44221|104|191
43624|14|17
06405|151|253
21502|357|420
28146|30|67
10010|848|1631
92618|368|392
93710|481|484
07202|142|102
07304|81|105
98391|75|182
43213|402|545
63025|40|51
92868|1569|1864
33351|187|249
11518|38|75
11596|63|148
94947|63|92
07470|434|444
19038|122|165
10589|47|60
75240|722|581
91311|70|105
10467|1617|2519
20036|329|816
05495|68|212
21208|288|362
15217|143|284
45140|67|195
29461|84|227
24018|310|346
20015|102|183
10118|15|16
64108|954|1617
59859|17|17
27157|1224|1118
11563|163|297
60067|137|197
33903|50|58
11423|108|185
17402|352|442
11101|157|567
19464|314|679
11747|185|472
11510|127|364
07205|25|30
60970|48|100
01923|259|1067
33823|38|46
95211|19|40
38119|415|398
75230|490|552
06110|29|76
45459|311|354
23455|161|228
10022|814|896
06850|223|333
21228|289|458
28715|32|67
77075|31|67
98026|313|394
30338|228|397
91324|178|158
60030|99|260
94501|263|408
90723|89|81
35242|214|330
44074|42|55
33409|155|227
92708|634|755
75839|1|3
28115|52|174
04401|873|1384
15003|19|24
80501|368|551
38103|463|524
28403|412|702
46818|68|84
53215|713|726
22401|448|624
02649|80|192
37066|185|315
02453|121|389
39705|172|139
78611|40|30
47747|67|44
29307|150|184
30114|202|245
77459|138|334
32960|457|511
38104|552|836
08805|52|76
30342|1124|1479
43616|169|170
43537|198|262
12054|100|172
44805|145|273
47804|119|183
43608|281|282
98532|149|241
33323|478|563
29621|471|498
92869|108|120
97520|254|403
56362|22|19
29406|434|592
85260|511|608
16146|83|84
74012|223|382
85037|152|226
77833|95|89
34972|70|81
11042|480|613
79902|484|439
43081|404|948
32803|869|1100
17931|24|41
46514|267|244
24244|18|37
93901|480|572
92093|203|216
32757|119|179
28501|134|135
37187|5|10
46256|354|578
34667|258|192
68506|403|544
37403|549|684
33637|151|139
22902|151|196
73116|240|412
21804|260|331
33563|130|136
16201|112|137
21853|50|109
46902|232|216
78705|642|700
00927|132|163
80045|1871|2777
34285|190|184
29678|130|184
33426|171|248
02571|71|122
72716|6|4
54720|33|41
14830|136|232
10549|332|466
67203|156|413
76107|421|798
11570|423|508
81301|313|384
17011|398|519
38118|152|293
46733|34|46
76104|1519|1661
85234|355|393
28779|177|288
66044|224|368
32256|330|565
34698|161|188
17522|144|136
07112|259|333
34223|80|66
14642|1254|1505
49801|148|131
98837|222|311
35205|437|488
74104|659|622
77388|54|84
87107|205|732
97801|163|301
32832|43|96
77642|107|131
60612|3024|3618
34108|116|103
61401|170|241
11561|204|419
32446|82|114
60637|981|1307
73505|405|535
31904|544|948
80124|345|397
21224|554|832
47438|2|6
66901|32|34
75189|14|19
92663|469|369
37040|211|564
33136|1977|2036
82071|16|34
34741|400|680
74136|738|994
80907|422|440
11756|150|289
77598|304|332
00680|388|320
67037|62|100
33511|605|1164
71483|34|29
15211|24|25
23602|119|202
57702|203|307
33634|107|233
46805|335|592
46986|3|1
30517|46|47
34286|12|21
37027|440|626
03301|693|1236
74135|548|892
84405|226|180
38012|26|37
30912|1054|690
81401|194|258
93003|871|1058
54494|114|203
50309|397|569
38464|80|175
82072|259|467
07701|339|480
71913|384|510
01077|19|24
18704|275|238
46953|111|162
16101|89|149
77020|39|45
78258|463|501
17325|176|249
00918|535|515
76120|18|51
30513|57|67
06606|331|333
19406|183|289
14623|231|586
34748|312|306
49442|212|336
48532|475|523
07066|99|110
07731|88|153
42420|148|201
94591|72|113
64114|268|352
27607|508|857
21237|402|560
43219|188|438
15717|30|26
19348|112|389
33701|433|871
66043|29|49
60126|395|508
17603|329|559
06511|709|942
89027|70|36
85054|237|268
76012|227|200
71901|180|317
45011|180|649
45662|272|372
97501|188|590
13066|153|195
00917|214|203
88001|325|721
37615|91|128
93030|281|233
79410|351|241
85382|157|184
46176|65|124
33134|532|699
85710|280|268
14437|65|98
43205|665|1539
01655|1006|1190
30548|25|41
41701|266|678
28301|185|390
48307|524|677
98004|735|1139
12206|170|289
98664|434|465
70301|241|271
45206|89|235
67156|58|105
45219|1258|1473
33711|78|181
15601|504|700
88240|146|283
19608|51|80
12065|174|348
62948|126|170
44106|1762|2322
33470|115|179
80123|150|301
27705|1017|1467
11706|437|692
21204|865|1247
77004|231|314
70119|322|749
43015|160|327
34957|71|144
02817|14|27
16901|85|81
48310|209|224
32703|104|208
97504|818|863
87401|371|540
49242|83|106
19462|779|4526
75390|1661|1568
78665|163|288
93117|73|102
07514|56|63
55975|5|8
37934|162|207
85302|81|118
85128|12|20
46060|141|245
06804|83|140
89084|70|96
64062|5|5
80910|221|625
99204|894|804
34208|223|274
37642|8|27
38654|78|124
15001|74|89
80906|215|348
34471|587|677
48183|266|241
98584|121|215
20906|144|236
03878|98|116
29425|1370|1450
76102|95|171
47130|229|371
38002|39|110
91790|301|376
77380|361|552
38301|427|477
45365|97|122
46143|229|293
38133|115|147
22507|2|3
19609|49|97
29646|291|384
97471|240|324
77063|184|251
90089|274|358
75855|1|0
33407|334|480
85741|264|275
06484|170|240
14221|899|1851
80014|552|1484
46158|63|89
44195|2515|2499
11229|709|1352
43147|110|209
44512|383|504
33614|307|325
29730|79|272
74132|50|53
54963|11|17
42003|313|372
07011|126|121
22193|52|116
75093|718|871
23860|86|68
70508|443|480
98055|408|601
38401|346|658
33428|161|195
11375|801|1502
13204|55|255
10029|2013|3047
15206|291|546
39520|42|35
06069|40|29
95667|281|420
78504|275|393
98122|807|1311
72653|234|405
75001|101|185
85122|142|194
28791|181|155
46802|81|87
92845|57|67
46038|121|244
89145|135|152
70810|285|374
70458|247|296
07013|298|267
98074|38|93
87034|33|32
42071|140|161
28360|20|44
92612|131|245
04769|145|204
06457|434|628
24531|12|25
47111|45|98
68124|287|370
90023|98|123
45144|3|26
77702|219|133
33169|158|254
60302|274|458
37232|1789|2164
08619|224|307
34949|11|11
13421|106|210
94546|226|256
78624|135|108
43105|10|9
39564|177|170
02908|297|445
79423|97|151
75231|797|836
86314|150|244
20832|199|266
31201|544|536
42503|208|233
92029|71|71
13905|266|491
77802|353|365
48176|86|143
85222|112|96
37321|50|57
80134|165|357
80751|88|159
78756|182|268
60440|162|339
49036|121|190
68802|5|4
73112|809|1266
97527|274|352
75482|79|88
68510|376|681
98006|143|229
17701|398|491
48507|294|428
71269|31|63
48824|198|201
44720|421|1360
28801|717|1165
07624|43|61
18343|5|2
26105|79|82
27612|269|540
17112|174|169
85258|443|556
28516|17|39
97355|256|267
24219|68|166
24014|490|463
07960|812|1027
90211|526|378
94598|540|531
75503|355|278
38344|26|49
10601|315|481
54601|912|1112
77074|599|926
07080|104|119
54301|368|586
88220|153|257
21117|314|426
98225|693|1102
33908|310|374
48375|443|2513
15063|77|101
11040|749|1010
02446|390|808
06810|668|864
55433|387|564
14227|68|128
19148|158|171
74447|79|152
73077|15|24
14228|118|194
